Scan Type,State/Territory,All Scans,Executive Order Number,Executive Order Year Enacted,Executive Order Summary,Executive Order Last Topic tag(s),Executive Order Last Updated,Executive Order Record URL,Bill Number,Legislative Session,Bill Title,Bill Summary,Bill Action tag(s) [multi],Bill Action tag(s) text,Bill Topic Tag(s) [multi],Bill Topic Tag(s) text,Bill Status,Bill Link,Bill Last Updated,Bill Record URL
Executive Order,American Samoa,Executive Order 007-2023 (2023),Executive Order 007-2023 (2023),2023,"EO 007-2023 (2023) by Gov. Lemanu P.S. Mauga re: establishment of the Territorial Broadband Coordination, Opportunities, Redevelopment, and Deployment Office and Broadband Steering Committee to promote access to (among other things) advance broadband network services, promote digital literacy, and increase broadband equity (replaced EO 006-2023)","broadband, administrative reorganization",9/3/2025 11:32am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recLsAuYN1hHKVKMO,,,,,,,,,,,,
Executive Order,American Samoa,Executive Order 005-2021 (2021),Executive Order 005-2021 (2021),2021,EO 05-2021 (2021) by Gov. Lemanu P.S. Mauga re: establishment of a Technology Office to support more centralized and unified information technology services,"administrative reorganization, information technology",9/3/2025 11:32am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recEWyjRsv6h40wAw,,,,,,,,,,,,
Legislation,Arizona,H 2482,,,,,,,H 2482,2023,Appropriations and Crime Victim Notification Fund ,"Provides that the Law Enforcement Crime Victim Notification Fund is established consisting of legislative appropriations, enables the county or city, or both, or tribal law enforcement agency or university police department-based deployment of an automated crime victim notification system to a user base consisting of law enforcement agencies, appropriates funds.","regulate use - government,appropriation","regulate use - government, appropriation","artificial intelligence,criminal/legal system","artificial intelligence, criminal/legal system",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2023000H2482&ciq=ncsl&client_md=ee0f5dccb66af8595f51318ae43fc9f5&mode=current_text,9/3/2025 12:32pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recntZyRFSxkE3zx6
Legislation,Arizona,HB 2342,,,,,,,HB 2342,2025,Blockchain technology; regulation; computational power,Blockchain technology; regulation; computational power,"regulate use - private sector,regulate use - government","regulate use - private sector, regulate use - government","artificial intelligence,blockchain","artificial intelligence, blockchain",Enacted,https://legiscan.com/AZ/bill/HB2342/2025,9/24/2025 6:59am,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recPlxhFZLAN9IEy9
Legislation,Arkansas,S 656,,,,,,,S 656,2019,Data Sharing and Decision-Making Task Force,"Creates the Data Sharing and Data Driven Decision-Making Task Force. The task force shall recommend funding mechanisms to support the use of statewide data sharing, including without limitation data analytics, machine learning, and innovative technologies to link data between agencies, to support data driven decision making for all state agencies","regulate use - government,study,task force/working group/commission/etc","regulate use - government, study, task force/working group/commission/etc","artificial intelligence,data sharing","artificial intelligence, data sharing",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2019000S656&ciq=ncsl&client_md=deb58ccb999e38a23d4e479e37a905c7&mode=current_text,9/3/2025 12:31pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/rec7NsZlKCCs2LQwu
Legislation,Arkansas,HB 1958,,,,,,,HB 1958,2025,To Require Public Entities To Create A Policy Concerning The Authorized Use Of Artificial Intelligence.,To Require Public Entities To Create A Policy Concerning The Authorized Use Of Artificial Intelligence.,"regulate use - government,oversight/governence","regulate use - government, oversight/governence",artificial intelligence,artificial intelligence,Enacted,https://legiscan.com/AR/bill/HB1958/2025,9/24/2025 7:02am,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recGv3lQAJW4ztzDi
Executive Order,California,Executive Order B-34-15 (2015),Executive Order B-34-15 (2015),2015,EO B-34-15 (2015) by Gov. Jerry Brown re: establishment of the California Cybersecurity Integration Center to develop a strategy for and coordinate the state's cybersecurity operations and information sharing,"cybersecurity, data sharing",9/25/2025 6:25am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recipNDVnpRBduEoG,,,,,,,,,,,,
Executive Order,California,Executive Order N-12-23 (2023),Executive Order N-12-23 (2023),2023,EO N-12-23 (2023) by Gov. Gavin Newsom re: adoption of generative AI tools by the state and potential regulation of industry,artificial intelligence,9/25/2025 6:25am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/reciNSNXYo2SzUZcE,,,,,,,,,,,,
Executive Order,California,Executive Order N-12-23 (2023),Executive Order N-12-23 (2023),2023,EO N-12-23 (2023) by Gov. Gavin Newsom re: adoption of generative AI tools by the state and potential regulation of industry,artificial intelligence,9/3/2025 11:28am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/reciNSNXYo2SzUZcE,,,,,,,,,,,,
Executive Order,California,Executive Order B-34-15 (2015),Executive Order B-34-15 (2015),2015,EO B-34-15 (2015) by Gov. Jerry Brown re: establishment of the California Cybersecurity Integration Center to develop a strategy for and coordinate the state's cybersecurity operations and information sharing,"cybersecurity, data sharing",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recipNDVnpRBduEoG,,,,,,,,,,,,
Legislation,California,S 36,,,,,,,S 36,2019,Pretrial Release: Risk Assessment Tools,"Requires pretrial services agency that uses a pretrial risk assessment tool to validate the tool on a regular basis and to make specified information regarding the tool, including validation studies, publicly available. Requires the Judicial Council to maintain a list of pretrial services agencies that have satisfied those validation requirements and complied with those transparency requirements",regulate use - government,regulate use - government,"artificial intelligence,criminal/legal system,public safety","artificial intelligence, criminal/legal system, public safety",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000S36&ciq=ncsl&client_md=58a2f8468b7b4adab715ec9ff28cf5a3&mode=current_text,9/3/2025 12:31pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recINPtkZHlD3E8J6
Legislation,California,A 302,,,,,,,A 302,2023,Department of Technology: Automated Decision Systems ,"Requires the Department of Technology, in coordination with other interagency bodies, to conduct, on or before specified date, a comprehensive inventory of all high-risk automated decision systems, as defined, that have been proposed for use, development, or procurement by, or are being used, developed, or procured by, state agencies. ","regulate use - government,oversight/governence","regulate use - government, oversight/governence",artificial intelligence,artificial intelligence,Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A302&ciq=ncsl&client_md=ff50b1aabd3b42d9e3b51e6335aac82c&mode=current_text,9/3/2025 12:33pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/rec9OMk7S70hRBXFl
Legislation,California,A 107,,,,,,,A 107,2024,Budget Act of 2024,"Makes appropriations for the support of state government for the specified fiscal year. Declares the bill as a budget bill. Provides funds to the Government Operations Agency to coordinate with legislative staff and other state agencies on ongoing efforts to implement Executive Order N-12-23, related to AI use in state government.","regulate use - government,appropriation","regulate use - government, appropriation",artificial intelligence,artificial intelligence,Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A107&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:34pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/rec94ANJLN1CxqSb7
Legislation,California,A 1228,,,,,,,A 1228,2021,Supervised Persons: Release,Requires a court that elects to order the release of persons on probation pursuant to this provision to release persons on probation on their own recognizance pending a formal revocation hearing absent a finding by clear and convincing evidence that conditions of release are required by the individual circumstances of the case to reasonably protect the public and provide reasonable assurance of the person's future appearance in court. The court shall not require the use of any algorithm-based risk assessment tool in setting conditions of release.,regulate use - government,regulate use - government,"artificial intelligence,public safety","artificial intelligence, public safety",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A1228&ciq=ncsl&client_md=711e6045c3d07eb2509e9c3c03ede014&mode=current_text,9/3/2025 12:32pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recJWgUJmKI4NVlWW
Legislation,California,S 108,,,,,,,S 108,2024,Budget Act of 2024,Makes appropriations for the support of state government for the specified fiscal year. Requires the Government Operations Agency to establish monthly generative AI meetings to implement Executive Order N-12-23. Requirements for departments participating in GenAI pilot projects.,"regulate use - government,appropriation","regulate use - government, appropriation",artificial intelligence,artificial intelligence,Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000S108&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:34pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recryyAwY1BYxC0I3
Executive Order,Colorado,Executive Order B-2018-002 (2018),Executive Order B-2018-002 (2018),2018,"EO B-2018-002 (2018) by Gov. John Hickenlooper re: creation of the Council for the Advancement of Blockchain Technology Use to (among other things) understand how blockchain technology can be used in public settings (amended, 2018)",blockchain,9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recPJYnc848133MNo,,,,,,,,,,,,
Executive Order,Colorado,Executive Order B-2019-013 (2019),Executive Order B-2019-013 (2019),2019,"EO B-2019-013 (2019) by Gov. Jared Polis re: promoting widespread adoption of digital personal identification technologies by state agencies and civil society, including myColorado, Colorado Digital ID, and Mobile Driver License",digital identity,9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec2mvjlF4opcdwJw,,,,,,,,,,,,
Executive Order,Colorado,Executive Order B-2019-013 (2019),Executive Order B-2019-013 (2019),2019,"EO B-2019-013 (2019) by Gov. Jared Polis re: promoting widespread adoption of digital personal identification technologies by state agencies and civil society, including myColorado, Colorado Digital ID, and Mobile Driver License",digital identity,9/25/2025 6:25am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec2mvjlF4opcdwJw,,,,,,,,,,,,
Executive Order,Colorado,Executive Order B-2018-002 (2018),Executive Order B-2018-002 (2018),2018,"EO B-2018-002 (2018) by Gov. John Hickenlooper re: creation of the Council for the Advancement of Blockchain Technology Use to (among other things) understand how blockchain technology can be used in public settings (amended, 2018)",blockchain,9/25/2025 6:25am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recPJYnc848133MNo,,,,,,,,,,,,
Legislation,Colorado,S 113,,,,,,,S 113,2022,Artificial Intelligence Facial Recognition,"Concerns the use of personal identifying data; creates a task force for the consideration of facial recognition services, restricting the use of facial recognition services by law enforcement agencies, temporarily prohibiting state and local government agencies and schools from executing new contracts for facial recognition services; appropriates funds.","regulate use - government,study","regulate use - government, study","artificial intelligence,facial recognition","artificial intelligence, facial recognition",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2022000S113&ciq=ncsl&client_md=c09fcddf2a99232aa515279f4b78cf84&mode=current_text,9/3/2025 12:32pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recUcFdKtcAe5wzXc
Executive Order,Connecticut,Executive Order 61 (2017),Executive Order 61 (2017),2017,EO 61 (2017) by Gov. Dannel Malloy re: mandating compliance with the Office of Policy and Management's Policy for the Management of State Information Technology Projects,"information technology, standards",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recx7nOQlDLMogJE6,,,,,,,,,,,,
Executive Order,Connecticut,Executive Order 61 (2017),Executive Order 61 (2017),2017,EO 61 (2017) by Gov. Dannel Malloy re: mandating compliance with the Office of Policy and Management's Policy for the Management of State Information Technology Projects,"information technology, standards",9/25/2025 6:25am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recx7nOQlDLMogJE6,,,,,,,,,,,,
Legislation,Connecticut,H 5524,,,,,,,H 5524,2024,Adjusting Bonds of the State and Concerning Provisions ,"Provides funding to the Department of Education for grants to administer an AI education tool pilot program, including professional development for educators.  ","regulate use - government,training/employment investment,appropriation","regulate use - government, training/employment investment, appropriation","artificial intelligence,education","artificial intelligence, education",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2024000H5524&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:34pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recLiTELL6P0TCg09
Legislation,Connecticut,S 1103,,,,,,,S 1103,2023,Artificial Intelligence Automated Decision ,"Relates to artificial intelligence, automated decision-making and personal data privacy, provides that the Office of Policy and Management shall develop and establish policies and procedures concerning the development, procurement, implementation, utilization and ongoing assessment of systems that employ artificial intelligence and are in use by State agencies. ","regulate use - government,oversight/governence","regulate use - government, oversight/governence","artificial intelligence,civil rights,data privacy","artificial intelligence, civil rights, data privacy",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2023000S1103&ciq=ncsl&client_md=783378b6b29fa00fdab69672348011c6&mode=current_text,9/3/2025 12:33pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recFYsdPQFoiL3tbx
Executive Order,Delaware,Executive Order 39 (2013),Executive Order 39 (2013),2013,EO 39 (2013) by Gov. Jack Markell: re: re-establishment of the statewide Interoperability Executive Council to promote interoperable communications systems for public safety,"interoperability, public safety, information technology",9/25/2025 6:25am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recDIOhbTmwTPNcDa,,,,,,,,,,,,
Executive Order,Delaware,Executive Order 4 (2017),Executive Order 4 (2017),2017,"EO 4 (2017) by Gov. John Carney re: establishment of the Government Efficiency and Accountability Review Board to develop and support implementation of ideas for potential cost savings and shared services opportunities across state government and public education, including in information technology (among other areas), to better focus resources on the direct delivery of services to the public","shared services, information technology",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recAgXBIbuVt4D75J,,,,,,,,,,,,
Executive Order,Delaware,Executive Order 39 (2013),Executive Order 39 (2013),2013,EO 39 (2013) by Gov. Jack Markell: re: re-establishment of the statewide Interoperability Executive Council to promote interoperable communications systems for public safety,"interoperability, public safety, information technology",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recDIOhbTmwTPNcDa,,,,,,,,,,,,
Executive Order,Delaware,Executive Order 55 (2015),Executive Order 55 (2015),2015,EO 55 (2015) by Gov. Jack Markell re: establishment of the Cyber Security Advisory Council as the central interface for coordinating cybersecurity information sharing between and among the public and private sectors,"cybersecurity, data sharing",9/25/2025 6:25am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recisGXmi5lmqVkQh,,,,,,,,,,,,
Executive Order,Delaware,Executive Order 55 (2015),Executive Order 55 (2015),2015,EO 55 (2015) by Gov. Jack Markell re: establishment of the Cyber Security Advisory Council as the central interface for coordinating cybersecurity information sharing between and among the public and private sectors,"cybersecurity, data sharing",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recisGXmi5lmqVkQh,,,,,,,,,,,,
Executive Order,Delaware,Executive Order 4 (2017),Executive Order 4 (2017),2017,"EO 4 (2017) by Gov. John Carney re: establishment of the Government Efficiency and Accountability Review Board to develop and support implementation of ideas for potential cost savings and shared services opportunities across state government and public education, including in information technology (among other areas), to better focus resources on the direct delivery of services to the public","shared services, information technology",9/25/2025 6:25am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recAgXBIbuVt4D75J,,,,,,,,,,,,
Legislation,Delaware,H 333,,,,,,,H 333,2024,Artificial Intelligence Commission ,"Creates the Delaware Artificial Intelligence Commission; provides that this commission shall be tasked with making recommendations to the General Assembly and Department of Technology and Information on AI utilization and safety within the state; provides that the commission shall additionally conduct an inventory of all generative AI usage within state executive, legislative and judicial agencies and identify high risk areas for the implementation of generative AI. ","regulate use - government,task force/working group/commission/etc,study","regulate use - government, task force/working group/commission/etc, study",artificial intelligence,artificial intelligence,Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:DE2023000H333&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:34pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recnPh3aj1dGa3uUc
Executive Order,Florida,Executive Order 15-134 (2015),Executive Order 15-134 (2015),2015,"EO 15-134 (2015) by Gov. Rick Scott re: directive to implement two prototype correctional institutions to evaluate the impact of enhanced operational elements related to (among other things) modern and innovative technologies to improve institutional oversight and reform (addenda, 2015)",criminal/legal system,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recSfqa4EyrnErX9e,,,,,,,,,,,,
Executive Order,Florida,Executive Order 22-216 (2022),Executive Order 22-216 (2022),2022,EO 22-216 (2022) by Gov. Ron DeSantis re: directing Department of Management Services and Florida Digital Services to take action to strengthen the state's cybersecurity against foreign adversaries,cybersecurity,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recDlEi2EORKj0aFQ,,,,,,,,,,,,
Executive Order,Florida,Executive Order 15-134 (2015),Executive Order 15-134 (2015),2015,"EO 15-134 (2015) by Gov. Rick Scott re: directive to implement two prototype correctional institutions to evaluate the impact of enhanced operational elements related to (among other things) modern and innovative technologies to improve institutional oversight and reform (addenda, 2015)",criminal/legal system,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recSfqa4EyrnErX9e,,,,,,,,,,,,
Executive Order,Florida,Executive Order 22-216 (2022),Executive Order 22-216 (2022),2022,EO 22-216 (2022) by Gov. Ron DeSantis re: directing Department of Management Services and Florida Digital Services to take action to strengthen the state's cybersecurity against foreign adversaries,cybersecurity,9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recDlEi2EORKj0aFQ,,,,,,,,,,,,
Legislation,Florida,H 5001,,,,,,,H 5001,2022,General Appropriations Act,Provides an appropriation for the UF/IFAS Quantifying Ecosystems Services with Artificial Intelligence.,"regulate use - government,appropriation","regulate use - government, appropriation",artificial intelligence,artificial intelligence,Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:FL2022000H5001&ciq=heather.morton&client_md=8cc22167567251f11ef0e6d7b999a484&mode=current_text,9/3/2025 12:32pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/rec83k9uHa1ZLAUAN
Legislation,Florida,H 1371,,,,,,,H 1371,2025,Criminal Justice,Prohibits use of motor vehicle kill switch; provides minimum mandatory sentence for attempted murder of specified justice system personnel; provides correctional probation officers with same firearms rights as law enforcement officers; creates grant critical infrastructure mapping program within FDLE; provides that specified persons may carry weapons on same basis as law enforcement officers; provides increased criminal penalties for making false report of crime; prohibits use of artificial intelligence for specified purposes in conjunction with data from first responder body cameras; requires certain testing of arrestee & provision of test results to first responder or criminal justice professional who has been exposed to bodily fluids or bloodborne pathogens from arrestee.,"oversight/governence,regulate use - government","oversight/governence, regulate use - government","artificial intelligence,criminal/legal system,data governance","artificial intelligence, criminal/legal system, data governance",Enacted,https://legiscan.com/FL/bill/H1371/2025,9/29/2025 2:49pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recTEWUMIM6YX3gvj
Legislation,Florida,H 1361,,,,,,,H 1361,2024,Education ,"Provides for the award of grants to school districts to implement AI in support of students and teachers; provides requirements for the use of such AI; revises provisions relating to New Worlds Scholarship Accounts, New Worlds Reading Initiative, and coordinated screening and progress monitoring systems. ","regulate use - government,training/employment investment","regulate use - government, training/employment investment","artificial intelligence,education","artificial intelligence, education",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:FL2024000H1361&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:34pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recALZEjrHD5MDrXe
Legislation,Florida,S 2500,,,,,,,S 2500,2021,Appropriations,"Relates to appropriations, includes funding for the Department of Health for the development of an artificial intelligence customer service solution.","regulate use - government,appropriation,regulate use - health","regulate use - government, appropriation, regulate use - health","artificial intelligence,public health","artificial intelligence, public health",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:FL2021000S2500&ciq=ncsl&client_md=8f68bd2f0ea3f8157422e7fc1e795dda&mode=current_text,9/3/2025 12:32pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/receTHUgXLmi4VbJ2
